date,model,alpha,return,sigma2,VaR,ES,period,period_start
2011-04-18,GARCHNet++,0.025,-1.1271983621468706,0.8618535399436951,-1.8347239833010796,-2.2387820142604187,Period II,2007-01-01
2011-04-19,GARCHNet++,0.025,0.5728048761922306,0.9390974044799805,-1.9155884394986764,-2.339070966806278,Period II,2007-01-01
2011-04-20,GARCHNet++,0.025,1.3539849979458638,0.9244847893714905,-1.9005702947039733,-2.320510151231704,Period II,2007-01-01
2011-04-21,GARCHNet++,0.025,0.5095879307875055,0.9651147723197937,-1.9420116945562058,-2.3716102760913578,Period II,2007-01-01
2011-04-25,GARCHNet++,0.025,-0.10470376441327701,0.9413212537765503,-1.9178501703879862,-2.341812666889899,Period II,2007-01-01
2011-04-26,GARCHNet++,0.025,0.8568349018922111,0.9145579934120178,-1.890284049274864,-2.307733990917749,Period II,2007-01-01
2011-04-27,GARCHNet++,0.025,0.6507491060485546,0.9098383784294128,-1.8853690576169155,-2.301610120331601,Period II,2007-01-01
2011-04-28,GARCHNet++,0.025,0.32379338274032937,0.899016261100769,-1.874056821767492,-2.2875403949468684,Period II,2007-01-01
2011-04-29,GARCHNet++,0.025,0.2348222061735955,0.8824651837348938,-1.8566308578881419,-2.265895770309855,Period II,2007-01-01
2011-05-02,GARCHNet++,0.025,-0.15403741155360814,0.870051383972168,-1.8434608327108641,-2.2495672403859057,Period II,2007-01-01
2011-05-03,GARCHNet++,0.025,-0.3603647942207419,0.8630697727203369,-1.8360171132746028,-2.2403560878529003,Period II,2007-01-01
2011-05-04,GARCHNet++,0.025,-0.6652847605774445,0.8637919425964355,-1.8367950235550332,-2.241344275469187,Period II,2007-01-01
2011-05-05,GARCHNet++,0.025,-0.90896260574921,0.8830243945121765,-1.8572406008112927,-2.266724785224569,Period II,2007-01-01
2011-05-06,GARCHNet++,0.025,0.4406088628249448,0.930869996547699,-1.9071500314989884,-2.3286531442345972,Period II,2007-01-01
2011-05-09,GARCHNet++,0.025,0.3867357757845281,0.9123937487602234,-1.888044029390928,-2.3049910806708658,Period II,2007-01-01
2011-05-10,GARCHNet++,0.025,0.84999507437913,0.8955593109130859,-1.8704438787266828,-2.2831052469816613,Period II,2007-01-01
2011-05-11,GARCHNet++,0.025,-1.0580489282121406,0.8963085412979126,-1.8712238291685614,-2.284048210404887,Period II,2007-01-01
2011-05-12,GARCHNet++,0.025,0.47491880559770866,0.9688148498535156,-1.945786879165269,-2.3764435661310044,Period II,2007-01-01
2011-05-13,GARCHNet++,0.025,-0.7728996292128418,0.9421932101249695,-1.9187613953711051,-2.3430172205057604,Period II,2007-01-01
2011-05-16,GARCHNet++,0.025,-0.6361514237382823,0.9671458005905151,-1.9441177874940436,-2.374435724936672,Period II,2007-01-01
2011-05-17,GARCHNet++,0.025,-0.015020477889104714,0.9717337489128113,-1.9488532939829244,-2.380736510529432,Period II,2007-01-01
2011-05-18,GARCHNet++,0.025,0.8896275522450333,0.9293228983879089,-1.9056665579259473,-2.3272466356250807,Period II,2007-01-01
2011-05-19,GARCHNet++,0.025,0.2378770623743367,0.9148905277252197,-1.8907172565295116,-2.3086175005823075,Period II,2007-01-01
2011-05-20,GARCHNet++,0.025,-0.7976426741533248,0.886703610420227,-1.8611889155210009,-2.2718711955897968,Period II,2007-01-01
2011-05-23,GARCHNet++,0.025,-1.1668766889634001,0.9164623618125916,-1.8923504042053212,-2.3106499286094135,Period II,2007-01-01
2011-05-24,GARCHNet++,0.025,-0.08333064581316543,1.0315179824829102,-2.0081828772898773,-2.4543139960011757,Period II,2007-01-01
2011-05-25,GARCHNet++,0.025,0.33290675181164125,0.9883848428726196,-1.9655622133008481,-2.401478518720857,Period II,2007-01-01
2011-05-26,GARCHNet++,0.025,0.4597020882442528,0.9391818046569824,-1.9157928594181692,-2.3397906446111394,Period II,2007-01-01
2011-05-27,GARCHNet++,0.025,0.3827212036034536,0.9046708345413208,-1.8800689400421007,-2.295383443855816,Period II,2007-01-01
2011-05-31,GARCHNet++,0.025,1.0357377711179272,0.8784500956535339,-1.8524594429742334,-2.2610295932577436,Period II,2007-01-01
2011-06-01,GARCHNet++,0.025,-2.271716617683093,0.8810533881187439,-1.8552040996320647,-2.2643866882796706,Period II,2007-01-01
2011-06-02,GARCHNet++,0.025,-0.10622109838710118,1.4207295179367065,-2.358642766947846,-2.890253287859629,Period II,2007-01-01
2011-06-03,GARCHNet++,0.025,-0.9994342882886753,1.3949426412582397,-2.3371536370766313,-2.863979969141031,Period II,2007-01-01
2011-06-06,GARCHNet++,0.025,-1.063761613777586,1.4619269371032715,-2.3929882865108714,-2.933996250230354,Period II,2007-01-01
