date,model,alpha,return,sigma2,VaR,ES
2009-04-02,GJR-GARCH,0.025,2.8818369490195277,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-04-03,GJR-GARCH,0.025,0.9899321331862869,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-04-06,GJR-GARCH,0.025,-0.7863780065196408,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-04-07,GJR-GARCH,0.025,-2.360166373399636,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-04-08,GJR-GARCH,0.025,1.0720010709050372,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-04-09,GJR-GARCH,0.025,3.8973672554157055,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-04-13,GJR-GARCH,0.025,0.023309569590602167,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-04-14,GJR-GARCH,0.025,-1.7393826161506316,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-04-15,GJR-GARCH,0.025,1.0613325261499618,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-04-16,GJR-GARCH,0.025,1.4556297774207454,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-04-17,GJR-GARCH,0.025,0.6682843455783037,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-04-20,GJR-GARCH,0.025,-4.281929682176725,5.412644422165952,-4.649729599855822,-6.089463618005655
2009-04-21,GJR-GARCH,0.025,1.9348900551471482,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-04-22,GJR-GARCH,0.025,-0.6132055155160467,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-04-23,GJR-GARCH,0.025,0.9769977226737957,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-04-24,GJR-GARCH,0.025,1.499767537522274,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-04-27,GJR-GARCH,0.025,-0.950740290971751,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-04-28,GJR-GARCH,0.025,-0.31503047968277903,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-04-29,GJR-GARCH,0.025,2.104610179165032,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-04-30,GJR-GARCH,0.025,0.03432158344524315,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-05-01,GJR-GARCH,0.025,0.5361957142381252,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-05-04,GJR-GARCH,0.025,3.3453899118707304,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-05-05,GJR-GARCH,0.025,-0.34168957334120814,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-05-06,GJR-GARCH,0.025,1.7186123866239669,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-05-07,GJR-GARCH,0.025,-1.398928583484315,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-05-08,GJR-GARCH,0.025,2.3064585317510486,5.715733956957996,-4.778162323280735,-6.2603584800358485
2009-05-11,GJR-GARCH,0.025,-1.8891078363386136,5.715733956957996,-4.778162323280735,-6.2603584800358485
